Day of Month,Date,Site ID,Page Views,Unique Visitors,Total Time Spent,Visits,Average Time Spent on Site
19,2021-01-19,site 4,238,203,5273,216,2.0
20,2021-01-20,site 4,229,198,5378,206,2.2
21,2021-01-21,site 4,238,220,3922,223,1.4
22,2021-01-22,site 4,239,203,7773,213,3.3
23,2021-01-23,site 4,223,198,4270,202,1.9
24,2021-01-24,site 4,251,209,12328,219,5.1
25,2021-01-25,site 4,230,196,5389,209,2.2
26,2021-01-26,site 4,270,225,12890,240,4.1
27,2021-01-27,site 4,229,202,3812,207,2.3
28,2021-01-28,site 4,231,207,3822,212,1.7
29,2021-01-29,site 4,199,183,1750,183,0.9
30,2021-01-30,site 4,243,202,7683,208,2.6
31,2021-01-31,site 4,255,221,4046,224,1.5
